artist_name;symbol;token_count;index_symbol_artist
Evanescence;hate;16;15
Evanescence;people;13;16
Evanescence;fire;12;17
Evanescence;authority/power;9;18
Evanescence;killing;8;19
Evanescence;hell;6;20
Evanescence;bad words;5;21
Evanescence;insane;5;22
Evanescence;bitch;4;23
Frank Sinatra;love/tender;1671;1
Frank Sinatra;sentiment;727;2
Frank Sinatra;part of body;668;3
Frank Sinatra;people;511;4
Frank Sinatra;time references;510;5
Frank Sinatra;day;497;6
Frank Sinatra;nature;432;7
Frank Sinatra;night;422;8
Frank Sinatra;life;361;9
Frank Sinatra;dream;345;10
Frank Sinatra;suffering;206;11
Frank Sinatra;city;187;12
Frank Sinatra;authority/power;72;13
Frank Sinatra;death;72;14
Frank Sinatra;fire;65;15
Frank Sinatra;freedom;59;16
Frank Sinatra;insane;57;17
Frank Sinatra;war/weapons;46;18
Frank Sinatra;God/Christ;44;19
Frank Sinatra;darkness;35;20
Frank Sinatra;cities;25;21
Frank Sinatra;hell;17;22
Frank Sinatra;hate;16;23
Frank Sinatra;money;16;24
Frank Sinatra;killing;7;25
Frank Sinatra;crime;6;26
Frank Sinatra;sex;3;27
Hollywood undead;bad words;792;1
Hollywood undead;death;456;2
Hollywood undead;part of body;408;3
Hollywood undead;people;385;4
Hollywood undead;sentiment;299;5
Hollywood undead;life;295;6
Hollywood undead;suffering;271;7
Hollywood undead;time references;221;8
Hollywood undead;love/tender;178;9
Hollywood undead;bitch;172;10
Hollywood undead;city;153;11
Hollywood undead;day;129;12
Hollywood undead;fire;125;13
Hollywood undead;nature;110;14
Hollywood undead;night;110;15
Hollywood undead;hate;109;16
Hollywood undead;war/weapons;105;17
Hollywood undead;the hood;90;18
Hollywood undead;dream;88;19
Hollywood undead;weed/drugs/booze;82;20
Hollywood undead;darkness;80;21
Hollywood undead;God/Christ;79;22
Hollywood undead;killing;55;23
Hollywood undead;hell;53;24
Hollywood undead;cities;42;25
Hollywood undead;insane;30;26
Hollywood undead;money;26;27
Hollywood undead;authority/power;23;28
Hollywood undead;sex;18;29
Hollywood undead;crime;15;30
Hollywood undead;freedom;10;31
Hollywood undead;destruction;3;32
Iron Maiden;people;500;1
Iron Maiden;life;445;2
Iron Maiden;death;391;3
Iron Maiden;part of body;361;4
Iron Maiden;sentiment;348;5
Iron Maiden;suffering;331;6
Iron Maiden;dream;163;7
Iron Maiden;war/weapons;161;8
Iron Maiden;day;158;9
Iron Maiden;time references;145;10
Iron Maiden;freedom;144;11
Iron Maiden;hell;141;12
Iron Maiden;nature;136;13
Iron Maiden;night;133;14
Iron Maiden;fire;118;15
Iron Maiden;love/tender;118;16
Iron Maiden;God/Christ;113;17
Iron Maiden;darkness;94;18
Iron Maiden;killing;79;19
Iron Maiden;insane;62;20
Iron Maiden;authority/power;51;21
Iron Maiden;crime;31;22
Iron Maiden;bad words;23;23
Iron Maiden;money;20;24
Iron Maiden;city;19;25
Iron Maiden;destruction;9;26
Iron Maiden;hate;9;27
Iron Maiden;bitch;3;28
Iron Maiden;cities;3;29
James Brown;love/tender;930;1
James Brown;people;549;2
James Brown;sentiment;386;3
James Brown;part of body;181;4
James Brown;time references;119;5
James Brown;day;111;6
James Brown;God/Christ;99;7
James Brown;suffering;88;8
James Brown;life;79;9
James Brown;sex;72;10
James Brown;night;68;11
James Brown;money;65;12
James Brown;insane;55;13
James Brown;authority/power;51;14
James Brown;city;43;15
James Brown;death;43;16
James Brown;cities;29;17
James Brown;dream;28;18
James Brown;nature;24;19
James Brown;the hood;17;20
James Brown;freedom;13;21
James Brown;war/weapons;12;22
James Brown;darkness;11;23
James Brown;fire;11;24
James Brown;hate;9;25
James Brown;hell;8;26
James Brown;crime;7;27
James Brown;destruction;6;28
James Brown;bitch;4;29
James Brown;killing;4;30
Johnny Cash;people;2079;1
Johnny Cash;love/tender;1107;2
Johnny Cash;part of body;859;3
Johnny Cash;day;700;4
Johnny Cash;sentiment;657;5
Johnny Cash;God/Christ;640;6
Johnny Cash;time references;538;7
Johnny Cash;life;456;8
Johnny Cash;nature;427;9
Johnny Cash;death;362;10
Johnny Cash;suffering;357;11
Johnny Cash;city;328;12
Johnny Cash;night;317;13
Johnny Cash;war/weapons;221;14
Johnny Cash;authority/power;170;15
Johnny Cash;dream;166;16
Johnny Cash;money;141;17
Johnny Cash;freedom;138;18
Johnny Cash;fire;131;19
Johnny Cash;crime;124;20
Johnny Cash;darkness;114;21
Johnny Cash;killing;79;22
Johnny Cash;hell;67;23
Johnny Cash;insane;45;24
Johnny Cash;weed/drugs/booze;39;25
Johnny Cash;cities;32;26
Johnny Cash;hate;29;27
Johnny Cash;the hood;16;28
Johnny Cash;bitch;11;29
Johnny Cash;destruction;4;30
Justin Bieber;love/tender;1292;1
Justin Bieber;people;631;2
