artist_name;song_title
Frank Sinatra;Roses Of Picardy
Frank Sinatra;Rudolph The Red-Nosed Reindeer
Frank Sinatra;S'posin'
Frank Sinatra;Same Old Saturday Night
Frank Sinatra;Same Old Song And Dance
Frank Sinatra;Sand And Sea
Frank Sinatra;Santa Claus Is Coming To Town
Frank Sinatra;Satisfy Me One More Time
Frank Sinatra;Saturday Night (Is The Loneliest Night Of The Week)
Frank Sinatra;Say Hello
Frank Sinatra;Searching
Frank Sinatra;Secret Love
Frank Sinatra;Send In The Clowns
Frank Sinatra;Sentimental Baby
Frank Sinatra;Sentimental Journey
Frank Sinatra;September In The Rain
Frank Sinatra;September Song
Frank Sinatra;Serenade In Blue
Frank Sinatra;She Says
Frank Sinatra;She's Funny That Way
Frank Sinatra;Should I?
Frank Sinatra;Silent Night
Frank Sinatra;Silver Bells
Frank Sinatra;Since Marie Has Left Paree
Frank Sinatra;Sleep Warm
Frank Sinatra;So In Love (Reprise)
Frank Sinatra;Softly, As I Leave You
Frank Sinatra;Soliloquy
Frank Sinatra;Some Enchanted Evening
Frank Sinatra;Some Traveling Music
Frank Sinatra;Someone To Light Up My Life
Frank Sinatra;Someone To Watch Over Me
Frank Sinatra;Somethin' Stupid
Frank Sinatra;Something
Frank Sinatra;Something's Gotta Give
Frank Sinatra;Somewhere Along The Way
Frank Sinatra;Somewhere In Your Heart
Frank Sinatra;Somewhere My Love
Frank Sinatra;Song Sung Blue
Frank Sinatra;South - To A Warmer Place
Frank Sinatra;South Of The Border
Frank Sinatra;Spring Is Here
Frank Sinatra;Star!
Frank Sinatra;Stardust
Frank Sinatra;Stargazer
Frank Sinatra;Stars Fell On Alabama
Frank Sinatra;Stay With Me (Main Theme From The Cardinal)
Frank Sinatra;Stormy Weather
Frank Sinatra;Strangers In The Night
Frank Sinatra;Street Of Dreams
Frank Sinatra;Style
Frank Sinatra;Summer Me, Winter Me
Frank Sinatra;Summer Wind
Frank Sinatra;Sunday
Frank Sinatra;Sunny
Frank Sinatra;Sunrise In The Morning
Frank Sinatra;Sweet Caroline
Frank Sinatra;Sweet Lorraine
Frank Sinatra;Swingin' Down The Lane
Frank Sinatra;Swinging On A Star
Frank Sinatra;Take Me
Frank Sinatra;Taking A Chance On Love
Frank Sinatra;Talk To Me Baby
Frank Sinatra;Tangerine
Frank Sinatra;Teach Me Tonight
Frank Sinatra;Tell Her (You Love Her Each Day)
Frank Sinatra;Tenderly
Frank Sinatra;Thanks For The Memory
Frank Sinatra;That Lucky Old Sun (Just Rolls Around Heaven All Day)
Frank Sinatra;That Old Black Magic
Frank Sinatra;That Old Feeling
Frank Sinatra;That's All
Frank Sinatra;That's Life
Frank Sinatra;That's What God Looks Like To Me
Frank Sinatra;The Beautiful Strangers
Frank Sinatra;The Bells Of Christmas (Greensleeves)
Frank Sinatra;The Best Is Yet To Come
Frank Sinatra;The Best Of Everything
Frank Sinatra;The Boys' Night Out
Frank Sinatra;The Christmas Song
Frank Sinatra;The Christmas Waltz
Frank Sinatra;The Coffee Song
Frank Sinatra;The Continental
Frank Sinatra;The Curse Of An Aching Heart
Frank Sinatra;The End Of A Love Affair
Frank Sinatra;The First Noel
Frank Sinatra;The Future
Frank Sinatra;The Future (Conclusion) Song Without Words
Frank Sinatra;The Future (Continued) I've Been There!
Frank Sinatra;The Future Finale: Before The Music Ends
Frank Sinatra;The Gal That Got Away
Frank Sinatra;The Game Is Over
Frank Sinatra;The Girl From Ipanema
Frank Sinatra;The Girl Next Door
Frank Sinatra;The Girls I Never Kissed
Frank Sinatra;The Good Life
Frank Sinatra;The Gypsy
Frank Sinatra;The House I Live In
Frank Sinatra;The Hurt Doesn't Go Away
Frank Sinatra;The Impatient Years
Frank Sinatra;The Impossible Dream
Frank Sinatra;The Lady Is A Tramp
Frank Sinatra;The Last Dance
Frank Sinatra;The Little Drummer Boy
Frank Sinatra;The Lonesome Road
Frank Sinatra;The Look Of Love
Frank Sinatra;The Man In The Looking Glass
Frank Sinatra;The Moon Got In My Eyes
Frank Sinatra;The Moon Was Yellow (And The Night Was Young)
Frank Sinatra;The Most Beautiful Girl In The World
Frank Sinatra;The Nearness Of You
Frank Sinatra;The Night We Called It A Day
Frank Sinatra;The Oldest Established (Permanent Floating Crap Game In New York)
Frank Sinatra;The One I Love (Belongs To Somebody Else)
Frank Sinatra;The Only Couple On The Floor
Frank Sinatra;The Saddest Thing Of All
Frank Sinatra;The Second Time Around
Frank Sinatra;The September Of My Years
Frank Sinatra;The Single Man
Frank Sinatra;The Song Is Ended
Frank Sinatra;The Song Is You
Frank Sinatra;The Song Of The Sabia
Frank Sinatra;The Summer Knows
Frank Sinatra;The Train
Frank Sinatra;The Twelve Days Of Christmas
Frank Sinatra;The Very Thought Of You
Frank Sinatra;The Way You Look Tonight
Frank Sinatra;The Wedding Of Lili Marlene
Frank Sinatra;The World We Knew (Over And Over)
Frank Sinatra;Theme From New York, New York
Frank Sinatra;Then Suddenly Love
Frank Sinatra;There Are Such Things
Frank Sinatra;There Used To Be A Ballpark
Frank Sinatra;There Will Never Be Another You
Frank Sinatra;There's A Flaw In My Flue
Frank Sinatra;There's No You
Frank Sinatra;These Foolish Things (Remind Me Of You)
Frank Sinatra;These Foolish Things (Remind Me Of You)
Frank Sinatra;They All Laughed
Frank Sinatra;They Can't Take That Away From Me
Frank Sinatra;This Happy Madness (Estrada Branca)
Frank Sinatra;This Is All I Ask
Frank Sinatra;This Is My Love
Frank Sinatra;This Is My Song
Frank Sinatra;This Love Of Mine
Frank Sinatra;This Nearly Was Mine
